,Name,ATP Ranking,Aces ,Winners,Tie Breaks Won,Point Dominance,Points Per Return Game,Rank Band,Reduced Dimension 1,Reduced Dimension 2
0,Carlos Alcaraz Garfia,1,144,551,20,1.227,6.785,1 to 10,1.3281245830511266,-0.6453474051049233
1,Rafael Nadal,2,156,362,13,1.195,6.627,1 to 10,0.4721898684456801,-0.8539672881875687
2,Casper Ruud,3,287,608,25,1.117,6.332,1 to 10,2.029202551229449,0.09074726059632406
3,Stefanos Tsitsipas,4,524,1103,28,1.142,6.276,1 to 10,3.818803714818579,0.9952267500104676
4,Novak Djokovic,5,181,594,19,1.339,6.801,1 to 10,1.5579588233687822,-0.6853691323433537
5,Felix Auger Aliassime,6,775,1191,30,1.157,6.64,1 to 10,4.872323533035338,1.5425685643380727
6,Daniil Medvedev,7,494,583,17,1.194,6.522,1 to 10,2.090660775345495,0.1749709036001524
7,Andrey Rublev,8,447,855,15,1.158,6.547,1 to 10,2.2696287733326455,0.21174416189535653
8,Taylor Harry Fritz,9,536,905,22,1.159,6.636,1 to 10,3.118636493491729,0.6105461065461237
9,Hubert Hurkacz,10,743,1146,22,1.131,6.518,1 to 10,4.090608206219854,1.2802916355553722
10,Holger Vitus Nodskov Rune,11,238,822,15,1.082,6.386,11 to 20,1.5297784196144226,-0.14730900250591988
11,Alexander Zverev,12,211,270,12,1.175,6.29,11 to 20,0.3362713924086634,-0.6997942872390877
12,Pablo Carreno Busta,13,200,690,14,1.136,6.657,11 to 20,1.1971112511504642,-0.47416068655130855
13,Cameron Norrie,14,244,636,16,1.087,6.452,11 to 20,1.2948914285012176,-0.2442416486587536
14,Jannik Sinner,15,249,646,16,1.133,6.49,11 to 20,1.3792901431190634,-0.28540512162527343
15,Matteo Berrettini,16,422,475,15,1.093,6.32,11 to 20,1.4256910284601416,0.054705541493751196
16,Marin Cilic,17,438,895,11,1.119,6.522,11 to 20,1.9865531157146423,0.1511337333950586
17,Denis Shapovalov,18,417,905,19,1.078,6.46,11 to 20,2.468656672296979,0.3962270581290884
18,Frances Tiafoe,19,331,653,28,0.972,6.414,11 to 20,2.3014607488111203,0.426886052065701
19,Karen Khachanov,20,342,706,13,1.017,6.383,11 to 20,1.3996210665611235,0.023583878650127607
20,Roberto Bautista Agut,21,133,516,13,1.149,6.644,21 to 30,0.6376606992689748,-0.7675796759122347
21,Nick Kyrgios,22,460,615,16,1.263,0.0,21 to 30,1.445757062905705,1.8840748685011057
22,Lorenzo Musetti,23,174,581,12,1.06,6.29,21 to 30,0.6701796241597887,-0.4717366916430001
23,Alex De Minaur,24,160,672,14,1.063,6.446,21 to 30,0.9555608073989966,-0.4381537171454123
24,Diego Sebastian Schwartzman,25,0,351,10,1.004,6.699,21 to 30,-0.39478992361798154,-1.11429236660205
25,Borna Coric,26,158,426,10,1.029,6.312,21 to 30,0.1725927530368863,-0.6331260801907269
26,Daniel Evans,27,202,713,11,1.049,6.413,21 to 30,0.9142992094907834,-0.3804624546710197
27,Grigor Dimitrov,28,215,751,10,1.084,6.508,21 to 30,0.9935716343438725,-0.41977524683612943
28,Miomir Kecmanovic,29,179,382,14,1.08,6.527,21 to 30,0.512536067710589,-0.6150842332658185
29,Francisco Cerundolo,30,110,303,7,1.051,6.649,21 to 30,-0.34273929270768666,-1.0187614688210362
30,Alejandro Davidovich Fokina,31,96,542,9,1.001,6.573,31 to 40,0.13096880396372254,-0.7730846064449409
31,Tommy Paul,32,196,737,14,1.027,6.517,31 to 40,1.1416166221148525,-0.3014712124978057
32,Sebastian Korda,33,276,889,13,1.054,6.6,31 to 40,1.6038310606171449,-0.11045741328546552
33,Maxime Cressy,34,647,1066,20,1.013,0.0,31 to 40,2.800916539183736,2.9470002352544538
34,Botic Van De Zandschulp,35,302,834,17,1.025,6.565,31 to 40,1.8296317856014028,0.06603469749692704
35,Yoshihito Nishioka,36,0,456,9,0.98,0.0,31 to 40,-0.9285553804083234,0.8617711275326536
36,Alexander Bublik,37,586,652,13,0.992,6.353,31 to 40,1.9557088463626522,0.5656933736063884
37,Reilly Opelka,38,518,571,17,1.048,0.0,31 to 40,1.3719662921094522,2.2359435832491137
38,Albert Ramos,39,114,279,10,0.978,6.518,31 to 40,-0.24994223848851918,-0.8272434989738414
39,Emil Ruusuvuori,40,186,516,12,1.097,6.672,31 to 40,0.6617797510813497,-0.6325322470964215
40,John Isner,41,689,509,30,0.969,0.0,41 to 50,2.5847063918261397,3.024818075334934
41,Jack Draper,42,175,461,5,1.094,6.425,41 to 50,0.005105922273563404,-0.8142660625919039
42,Sebastian Baez,43,0,250,5,0.995,6.696,41 to 50,-0.9439925190347435,-1.307121881087545
43,Arthur Rinderknech,44,345,585,13,0.958,0.0,41 to 50,0.5314580529372663,1.8413406080979233
44,Lorenzo Sonego,45,245,344,15,1.034,6.409,41 to 50,0.6404392518186183,-0.38270052114962094
45,Adrian Mannarino,46,257,475,11,1.054,6.629,41 to 50,0.6654130739773022,-0.4717993712421022
46,Brandon Nakashima,47,302,604,23,1.051,6.332,41 to 50,1.8508018472244496,0.13339035316872666
47,Jenson Brooksby,48,109,423,6,1.0,6.324,41 to 50,-0.2856782308514247,-0.829761542611153
48,Andy Murray,49,232,497,10,1.052,6.474,41 to 50,0.5469311995897913,-0.495494921924635
49,Alex Molcan,50,125,305,12,1.005,6.613,41 to 50,0.00822187571208722,-0.7855745237312182
50,Corentin Moutet,51,0,256,7,1.0,6.514,51 to 60,-0.8018314469101138,-1.2002236984887071
51,Gael Monfils,52,156,237,0,1.17,6.688,51 to 60,-0.7034237583098923,-1.28872238170736
52,David Goffin,53,152,524,10,0.968,6.628,51 to 60,0.296851038826555,-0.613455406295446
53,Filip Krajinovic,54,119,351,10,0.983,6.315,51 to 60,-0.12005086471079601,-0.7190248429006505
54,Fabio Fognini,55,105,435,6,0.0,6.366,51 to 60,-1.3337103367791372,0.19011075414052353
55,Marc Andrea Huesler,56,168,435,8,0.984,0.0,51 to 60,-0.5636223867043711,1.1889754919746292
56,Pedro Cachin,57,0,0,0,0.0,0.0,51 to 60,-3.4338896703945325,1.340478747435089
57,Jaume Munar,58,126,329,4,1.001,6.735,51 to 60,-0.5108586136462494,-1.0247460018128456
58,Aslan Karatsev,59,209,682,9,0.946,6.53,51 to 60,0.6365563662055983,-0.36736634259405904
59,Benjamin Bonzi,60,218,387,8,1.039,6.415,51 to 60,0.1474663241575601,-0.6202260080654998
60,Marcos Giron,61,209,576,10,0.943,0.0,61 to 70,-0.09572119842513713,1.4652903542092413
61,Pedro Martinez Portero,62,87,240,8,0.976,6.616,61 to 70,-0.5316743390577143,-0.9933779208557065
62,Mackenzie Mcdonald,63,245,587,12,0.999,6.294,61 to 70,0.8151743802914613,-0.24876032348008723
63,Quentin Halys,64,85,0,0,0.941,6.754,61 to 70,-1.5656080821479252,-1.3740805295663134
64,Constant Lestienne,65,0,197,0,0.0,6.38,61 to 70,-2.4835444025192324,-0.36206670560499704
65,Jeffrey John Wolf,66,146,445,5,0.96,6.369,61 to 70,-0.2523994435214051,-0.733914662263265
66,Daniel Elahi Galan Riveros,67,0,145,0,0.988,6.286,61 to 70,-1.5362806241480227,-1.3881392167879876
67,Richard Gasquet,68,171,298,11,1.008,6.686,61 to 70,0.06279501871766006,-0.7400475242752081
68,Mikael Ymer,69,0,445,4,1.061,6.68,61 to 70,-0.5960288645050172,-1.2790150883929956
69,Laslo Djere,70,235,597,7,0.961,6.321,61 to 70,0.4097145520912229,-0.37410863088250995
70,Thiago Monteiro,71,171,267,5,0.994,0.0,71 to 80,-1.061470272264044,0.9974564496723061
71,Bernabe Zapata Miralles,72,0,0,0,0.0,0.0,71 to 80,-3.4338896703945325,1.340478747435089
72,Ilya Ivashka,73,157,420,7,0.957,6.294,71 to 80,-0.1337492282542119,-0.644012600664818
73,Roberto Carballes Baena,74,0,0,6,0.0,0.0,71 to 80,-3.004734426591966,1.5095340591097928
74,Federico Coria,75,0,0,0,0.985,6.447,71 to 80,-1.785332765193036,-1.520224878645086
75,Oscar Otte,76,282,380,12,1.027,6.375,71 to 80,0.5835361711532212,-0.3461157690459904
76,Kamil Majchrzak,77,130,0,6,1.085,6.349,71 to 80,-0.8954080609578025,-1.1383056717289328
77,Christopher Oconnell,78,130,264,8,0.97,6.678,71 to 80,-0.3687776031979193,-0.8948181168674115
78,Tomas Martin Etcheverry,79,0,0,0,0.0,0.0,71 to 80,-3.4338896703945325,1.340478747435089
79,Dusan Lajovic,80,105,149,6,0.0,6.475,71 to 80,-1.838136921480711,-0.01691620984349055
80,Jiri Lehecka,81,95,181,0,0.0,0.0,81 to 90,-2.842440712343024,1.6623797861146694
81,Joao Sousa,82,99,0,6,0.96,6.684,81 to 90,-1.0836396444525958,-1.173614465943881
82,Soon Woo Kwon,83,166,314,8,0.965,0.0,81 to 90,-0.8071206640026465,1.1297692756347966
83,Jordan Thompson,84,148,176,0,0.0,0.0,81 to 90,-2.70316502088672,1.7767970638314992
84,Christian Garin,85,0,144,5,0.0,6.501,81 to 90,-2.2099781185292704,-0.2883657211953858
85,Ugo Humbert,86,118,212,6,0.0,6.612,81 to 90,-1.6756152605666192,0.011482475781778079
86,Marton Fucsovics,87,93,258,5,0.965,6.507,81 to 90,-0.7189448505598882,-1.011011812915567
87,Roman Safiullin,88,118,155,4,1.089,6.882,81 to 90,-0.7391050484637062,-1.2824337376389432
88,Facundo Bagnis,89,109,0,0,0.966,6.313,81 to 90,-1.513095441409788,-1.2206534498054606
89,Gregoire Barrere,90,0,0,0,0.0,0.0,81 to 90,-3.4338896703945325,1.340478747435089
90,Nikoloz Basilashvili,91,113,341,9,0.0,0.0,91 to 100,-1.8604592110481688,2.0542544472093245
91,Taro Daniel,92,127,297,7,0.953,6.307,91 to 100,-0.4420291828436968,-0.7857363479884067
92,Thanasi Kokkinakis,93,270,415,11,1.017,6.34,91 to 100,0.5275230935790505,-0.35903284587996476
93,Daniel Altmaier,94,158,211,3,0.0,0.0,91 to 100,-2.3976351152615765,1.905015552301311
94,Tallon Griekspoor,95,221,470,12,0.948,6.481,91 to 100,0.5007963972287541,-0.3746622290536399
95,Ben Shelton,96,0,155,0,0.0,0.0,91 to 100,-3.1549942955734105,1.4357928732170147
96,Tomas Machac,97,0,0,0,0.985,0.0,91 to 100,-2.387468663826699,0.32261332169633233
97,Vasek Pospisil,98,0,0,0,0.0,0.0,91 to 100,-3.4338896703945325,1.340478747435089
98,Zhizhen Zhang,99,0,0,0,0.0,0.0,91 to 100,-3.4338896703945325,1.340478747435089
99,Alejandro Tabilo,100,125,0,4,1.004,6.628,91 to 100,-1.1124406293683313,-1.2017895068906888
