code_parlimen,ethnicity_proportion_bumi,Winner,Vote Share
P.001,89.80184124,PN,27.632043808514396
P.002,87.33029377,PN,16.355871886120998
P.003,89.41732185,PN,49.618500074803904
P.004,91.86024551,PN,28.470935130581296
P.005,93.45941566,PN,39.18248510736108
P.006,88.56110011,PN,37.86959545334644
P.007,91.66453919,PN,22.535935347220793
P.008,85.15264438,PN,36.10365687255526
P.009,68.52072479,PN,12.899748006130984
P.010,75.58628338,PN,27.928340383179897
P.011,90.80974028,PN,41.39085112575072
P.012,87.48194511,PN,40.33392876672378
P.013,94.07706982,PN,42.58517229921229
P.014,74.0518163,PN,20.497542518333592
P.015,69.18329073,PH,0.8576659179717547
P.016,92.12868878,PN,26.71550649160126
P.017,70.11459185,PN,17.78682068784458
P.018,73.82509124,PN,18.56838214387262
P.019,92.46455242,PN,33.24415482662743
P.020,97.28848937,PN,49.21490207173262
P.021,92.72397255,PN,28.983965444314848
P.022,98.50893221,PN,47.14594876674904
P.023,97.82389719,PN,34.09387546053827
P.024,97.49864765,PN,50.19045512631475
P.025,98.78947031,PN,33.546873088429926
P.026,97.70039668,PN,36.75829594985842
P.027,95.39564715,PN,63.85500674453979
P.028,98.87597991,PN,35.809589394852374
P.029,98.00016437,PN,15.594188653745737
P.030,99.37335049,PN,29.017763602076688
P.031,95.43923757,PN,38.94188401539865
P.032,93.75685601,PN,0.33693697418194596
P.033,98.60539461,PN,21.86636052668572
P.034,99.61630975,PN,22.434930215013203
P.035,97.90357278,PN,33.9674533254211
P.036,94.6444884,PN,42.36784323473361
P.037,98.50406423,PN,38.25961785308248
P.038,99.49331633,PN,21.85034996111543
P.039,97.53775893,PN,37.36756182274376
P.040,95.72013773,PN,24.032008488438922
P.041,87.17764088,PN,4.136965744134368
P.042,78.19072981,PN,18.256049588747167
P.043,21.6346477,PH,72.3162525125994
P.044,78.4329123,PN,6.028725642667642
P.045,27.8717288,PH,62.1974230416734
P.046,34.18714963,PH,58.69448359024277
P.047,50.43353202,PH,20.543955212588894
P.048,17.88085502,PH,68.18800108819153
P.049,16.92688874,PH,76.30496510362764
P.050,26.72895828,PH,54.597140311426024
P.051,22.4760379,PH,73.3238065363122
P.052,42.35154918,PH,38.90622909885406
P.053,63.69558482,PH,2.4753172380341413
P.054,86.76749265,PN,3.9783889980353635
P.055,91.88599519,BN,3.175692763466888
P.056,92.7792491,PN,22.357590361445784
P.057,71.97419648,PN,10.19790938132053
P.058,81.70808657,PN,29.66593638558841
P.059,76.13297774,PN,17.823857364427738
P.060,50.40495966,PH,30.115962203163892
P.061,82.57628387,PN,10.194792154762702
P.062,50.170441,PH,3.574125346086081
P.063,71.17297759,PH,2.977110856520241
P.064,37.38959453,PH,55.01128102281273
P.065,25.78442172,PH,72.31992444739394
P.066,25.24920294,PH,71.8244279901274
P.067,82.16456196,PN,9.973709235330313
P.068,33.13218339,PH,47.06884846133595
P.069,95.8972262,PN,5.7397789319483286
P.070,44.61742398,PH,24.1302663927525
P.071,52.70700014,PH,26.195024990833478
P.072,71.64035654,BN,11.3846361367775
P.073,86.75206853,PN,8.77365273661505
P.074,81.61438468,PN,0.5101037070346534
P.075,55.14319533,BN,0.8314220183486238
P.076,49.91991632,PH,23.629934261769012
P.077,74.07671722,PH,5.082458985804711
P.078,72.18552649,BN,13.660003006162633
P.079,84.28571429,BN,17.06317110584298
P.080,60.99240685,PH,7.747843869476305
P.081,85.63525391,PN,12.12212002277017
P.082,75.77928129,PN,9.054185819752055
P.083,82.51948011,PN,4.229509164428441
P.084,91.47376823,BN,2.124776148298727
P.085,96.28199825,BN,9.618340301587471
P.086,93.54239417,PN,4.43151951718096
P.087,97.00970112,PN,2.144817041241648
P.088,75.88739201,PN,6.679816547067294
P.089,61.92606417,PH,1.038150531827115
P.090,67.42908324,BN,28.03620608584671
P.091,96.52679162,PN,2.1486096792027136
P.092,84.21019081,PN,12.338628986992703
P.093,70.15182513,PN,5.327981202271392
P.094,75.25517505,PN,1.2757060485781022
P.095,78.20704264,PN,4.257396738599746
P.096,79.77986896,PH,1.1586360009713117
P.097,61.52776345,PH,16.30234468287767
P.098,79.61826985,PH,7.694679191904537
P.099,67.07567562,PH,28.421909413003927
P.100,51.55721056,PH,41.75831776993844
P.101,71.71710207,PH,10.88407524106823
P.102,62.22629615,PH,28.531955741308522
P.103,49.380408,PH,47.91854417977825
P.104,36.79921826,PH,64.65448947371378
P.105,52.01477057,PH,34.6731842426403
P.106,33.70843334,PH,71.23650228367927
P.107,71.15021153,PH,2.077306983238069
P.108,74.53255964,PH,13.327686528688222
P.109,77.93117976,PN,7.455546415237613
P.110,41.07562617,PH,56.00866355510814
P.111,50.5234651,PH,37.42186709820977
P.112,67.28414271,PN,1.4798966575165509
P.113,71.25410272,PH,6.486897901489616
P.126,76.21775561,BN,17.922530551021307
P.127,66.37316805,BN,8.157949717946932
P.128,62.50265579,PH,25.017641476530752
P.129,80.95361942,BN,13.322510377707452
P.130,46.01485118,PH,51.78919049886792
P.131,78.91813584,BN,18.181402829050768
P.132,55.19602097,PH,29.852216748768473
P.133,62.5424726,BN,2.0906722592695757
P.134,90.49549351,PN,8.056768160149044
P.135,73.33718319,PH,1.2191780821917808
P.136,76.7923354,PN,9.61565627478892
P.137,68.35017829,PH,9.142095125203733
P.138,53.39398181,PH,37.68438314350428
P.139,82.12002007,PN,0.4149591484316606
P.140,57.96560197,PH,11.192055595040669
P.141,60.50412417,PH,3.594750917345606
P.142,49.97436029,PH,8.153691178586847
P.143,72.76856689,PN,18.398264418745747
P.144,65.6562438,PH,12.164568468502123
P.145,50.33066335,PH,26.324856439704675
P.146,69.55244196,MU,2.530193009518793
P.147,89.08868363,BN,3.2102805222861135
P.148,64.94928889,BN,6.345840829264114
P.149,70.14682721,PH,6.529119874640898
P.150,56.75521298,PH,16.053229340462742
P.151,67.51952681,BN,4.126351091069769
P.152,52.87849629,PH,27.61527279572479
P.153,68.30857059,BN,26.58196921573418
P.154,88.9499406,PN,4.9823050356031215
P.155,79.58246534,BN,5.824732229795521
P.156,95.77621691,BN,17.72547693997845
P.157,93.16718682,BN,11.974187380497131
P.158,53.09014122,PH,18.28952460333998
P.159,60.16661097,PH,21.140139335476956
P.160,54.751578,PH,16.993844882565444
P.161,47.32300909,PH,28.280606634101428
P.162,47.65249325,PH,36.678885630498534
P.163,53.68423673,PH,31.255585537903567
P.164,77.6971731,BN,10.128229934389896
P.165,66.7494819,BN,11.650912288415036
P.167,94.12439917,IN,4.3606455617628805
P.168,97.59647372,KD,16.365674928923237
P.169,97.80847145,WA,8.479375242889132
P.114,20.17352841,PH,84.46051521730112
P.115,56.58838802,PH,25.5215385674615
P.116,61.65203675,PH,22.316152684925598
P.117,32.42915982,PH,69.8091138766726
P.118,69.7025533,PH,16.269862500668772
P.119,67.72840477,BN,7.611160406191462
P.120,27.06689284,PH,73.63042164122714
P.121,59.12156533,PH,18.134890632739786
P.122,31.10414243,PH,76.82553113636884
P.123,32.21214371,PH,75.8899450840465
P.124,67.93719551,PH,10.553530923124885
P.125,97.89718089,PN,6.304068989984445
P.166,86.21749241,PN,2.4886639249182747
