Index,Country,Type Of Medal,Total Medals
0,USA,Gold,39
1,USA,Silver,41
2,USA,Bronze,33
3,CHN,Gold,38
4,CHN,Silver,32
5,CHN,Bronze,18
6,ROC,Gold,20
7,ROC,Silver,28
8,ROC,Bronze,23
9,GBR,Gold,22
10,GBR,Silver,21
11,GBR,Bronze,22
12,JPN,Gold,27
13,JPN,Silver,14
14,JPN,Bronze,17
15,AUS,Gold,17
16,AUS,Silver,7
17,AUS,Bronze,22
18,ITA,Gold,10
19,ITA,Silver,10
20,ITA,Bronze,20
21,GER,Gold,10
22,GER,Silver,11
23,GER,Bronze,16
24,NED,Gold,10
25,NED,Silver,12
26,NED,Bronze,14
27,FRA,Gold,10
28,FRA,Silver,12
29,FRA,Bronze,11
30,CAN,Gold,7
31,CAN,Silver,6
32,CAN,Bronze,11
33,BRA,Gold,7
34,BRA,Silver,6
35,BRA,Bronze,8
36,NZL,Gold,7
37,NZL,Silver,6
38,NZL,Bronze,7
39,HUN,Gold,6
40,HUN,Silver,7
41,HUN,Bronze,7
42,KOR,Gold,6
43,KOR,Silver,4
44,KOR,Bronze,10
45,UKR,Gold,1
46,UKR,Silver,6
47,UKR,Bronze,12
48,ESP,Gold,3
49,ESP,Silver,8
50,ESP,Bronze,6
51,CUB,Gold,7
52,CUB,Silver,3
53,CUB,Bronze,5
54,POL,Gold,4
55,POL,Silver,5
56,POL,Bronze,5
57,SUI,Gold,3
58,SUI,Silver,4
59,SUI,Bronze,6
60,TUR,Gold,2
61,TUR,Silver,2
62,TUR,Bronze,9
63,TPE,Gold,2
64,TPE,Silver,4
65,TPE,Bronze,6
66,CZE,Gold,4
67,CZE,Silver,4
68,CZE,Bronze,3
69,DEN,Gold,3
70,DEN,Silver,4
71,DEN,Bronze,4
72,KEN,Gold,4
73,KEN,Silver,4
74,KEN,Bronze,2
75,JAM,Gold,4
76,JAM,Silver,1
77,JAM,Bronze,4
78,SWE,Gold,3
79,SWE,Silver,6
80,SWE,Bronze,0
81,SRB,Gold,3
82,SRB,Silver,1
83,SRB,Bronze,5
84,NOR,Gold,4
85,NOR,Silver,2
86,NOR,Bronze,2
87,CRO,Gold,3
88,CRO,Silver,3
89,CRO,Bronze,2
90,GEO,Gold,2
91,GEO,Silver,5
92,GEO,Bronze,1